rebalance_date,ACWI,AGG,BIV,BND,BNO,BSV,CORN,CWB,DBA,DBC,DGRO,DIA,DVY,EEM,EEMV,EFA,EFAV,EMB,EPI,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWZ,EZA,FXI,GLD,GOVT,GSG,HDV,HYG,IAU,ICF,IEF,IEFA,IEI,IEMG,IGSB,IJH,IJR,INDA,ITOT,IUSG,IUSV,IVV,IWD,IWF,IWM,IWN,IWO,IYR,JNK,KBE,KRE,KWEB,LQD,MDY,MTUM,MUB,PDBC,PFF,QQQ,QUAL,REM,RPG,RPV,RSP,RWR,RWX,SCHA,SCHB,SCHD,SCHE,SCHH,SCHR,SCHX,SCHZ,SDY,SGOL,SHY,SIZE,SJNK,SLV,SMH,SOXX,SPLV,SPY,STIP,THD,TIP,TLH,TLT,TUR,UNG,USMV,USO,VB,VCIT,VCSH,VEA,VEU,VGIT,VGLT,VIG,VLUE,VNQ,VNQI,VO,VOO,VOOG,VOOV,VT,VTI,VTV,VUG,VV,VWO,VXUS,VYM,WEAT,XBI,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,XRT
2017-04-03,0.0,0.0,0.0,0.0,0.0,2.009128499387016e-22,0.0,0.0,0.0,0.0,0.0,0.016352250868819244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.245219452561466e-25,0.0,0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042151157317204,0.0,0.0,0.0,0.0,0.06746724014112822,0.0,0.0,0.0117137474470363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3235819747774616e-22,0.0,0.0,0.0,0.09999999999999996,0.0993547018505209,1.0017340168049862e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.286774123295821e-23,0.09999999999999996,0.0,0.0,0.0,0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,0.09999999999999996,0.09806990853517852,0.0,0.0,0.0,0.0,0.0
2017-07-03,1.6914075897623745e-22,2.025234293577609e-22,0.0,4.26832158737624e-23,0.0,2.55086621010677e-22,0.0,2.405026837668471e-22,0.0,0.0,0.026384291498585254,0.10000000000000007,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.828389433352649e-23,0.0,2.997848929415763e-23,0.0,1.3533143710616222e-23,0.0,0.0,2.522613114685089e-23,0.07424487466332726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689414699246406e-24,0.0,0.0,0.0,2.2327047676991482e-22,0.004725154843526352,0.0,1.9021092415981268e-22,0.0,3.742643958358662e-23,0.0,2.3358058992147803e-22,2.1381174226924933e-23,1.0059498268394178e-22,0.0,1.3989313928095752e-24,1.2645024022952615e-22,1.4790613982234665e-22,1.7972015830666468e-22,1.5768079531809968e-22,4.7158589319777885e-23,5.370671895899995e-23,8.390890894834183e-24,0.0,0.0,2.717247258759635e-22,3.8535820801229213e-23,0.023885222115197734,3.0174295258690616e-23,0.10000000000000007,1.2777752807003732e-22,1.1879273622093663e-22,0.10000000000000007,0.0,0.09887416817332717,1.3028587253755338e-22,5.518766545158771e-23,0.05559879924932592,7.501087027822507e-23,1.2508057386768334e-22,1.4002797970586317e-22,0.0,0.0,0.0,1.1069377219527305e-22,0.0,0.0,0.0,1.4149009829135785e-22,1.1417902594326221e-22,7.298335531203312e-23,0.0,1.689801441980593e-23,2.322965014423995e-22,0.0,0.0,0.0,0.01005490300449551,0.01608264459218313,0.0,0.0,5.782528072262889e-23,2.5225714569343954e-24,2.3380159308197986e-23,8.885929482173469e-23,0.0,0.0,5.7414698910557256e-24,0.0,1.2243202815037614e-22,0.0,0.10000000000000007,1.0914574314457019e-22,0.0,0.0,1.9257964125536614e-22,0.06062374276625241,2.6967354092864625e-22,1.4321209421028004e-22,0.0,0.0,8.502144761293278e-23,6.122509979157169e-23,3.8395396274223964e-24,2.9317073055986156e-22,1.7863758143786452e-22,1.8963238515573844e-22,0.0,8.901307857599859e-23,6.560738939116639e-23,0.0,0.0,0.0,1.3202937952508355e-22,0.0,0.0,0.0,0.0,0.027521544747937856,0.0,0.0,0.0,0.10000000000000007,1.944633372698816e-22,0.0,0.0020046543458410006,0.0,0.0
2017-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,5.882541913131928e-23,1.130921103906555e-22,4.4335028091415244e-23,0.0,0.0,1.2510138666813319e-22,0.0,0.0,0.0,0.0,0.0,3.0495222791056636e-22,0.0,0.0,0.0,0.0,0.10000000000000009,8.23054579121984e-23,1.3667282191311038e-22,0.0,0.0,4.0308380016242826e-22,2.1647535419686217e-23,0.08206431935135754,1.7883007523190713e-23,1.3618118108153145e-22,0.023827759711352935,0.0,0.0,1.3602913987728118e-22,0.0,0.032707659749022434,7.746536318381329e-23,0.0,0.0,0.0,5.707634088211051e-23,0.0,0.0,0.0,1.0073408828064951e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3915736693611338e-24,7.545575291734387e-23,0.0,0.0,0.0,0.009944809060073645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,0.0,0.0,7.378615340904651e-23,6.114504927305298e-23,0.0,0.0,0.06589823592065878,0.0,6.430329796177022e-23,0.0,0.0,0.0,0.07162056726621975,0.0,0.0,0.0,0.0,1.502656792087658e-23,0.022057377683400294,0.01957110465319903,0.0,0.0,0.0,0.0,0.0,0.0,0.001050857756617341,9.721782586691501e-23,9.817830778783411e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.159338545624527e-23,1.3970971997158687e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6286162063747723e-22,0.0,0.0,0.0,1.073979484601923e-22,0.0,0.0,0.0,0.10000000000000009,0.0,4.710692860647525e-22,0.07125730884809768,0.0,0.0,0.10000000000000009,3.8362586723066544e-23,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.03481457481730579,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.02587053630923722,0.0,1.0555636295357748e-22,0.0,0.0,0.10000000000000002,0.0,7.247246533852355e-23,0.06422023943352534,4.6975379138012883e-23,0.0,0.0,0.0,0.0,0.0,2.0720455065300753e-22,0.0,0.021320446975459182,0.0,1.7660706009152821e-22,0.0,0.0,0.0,7.433322186854873e-24,0.06568494067785416,3.8169642492259044e-23,0.0,0.0,0.0,7.696389545925502e-23,3.627440749234967e-23,0.0,3.22817837097152e-23,1.1964141670876306e-22,0.0,7.370164505791126e-23,0.0,0.0,0.0,0.0,6.905238418546658e-23,0.0,1.1528470667192777e-22,0.0,0.0,5.522408337047834e-24,0.0,0.0,1.3712772664277963e-24,0.0,1.0288239538016258e-22,1.862106820309701e-23,0.0,1.2187613499086324e-22,2.0031102198715864e-22,0.0,0.0,1.1491161740789276e-22,0.0,0.0,4.9707101566148286e-23,0.0,0.0,0.0,0.019094329684089473,0.0,2.1170825078624312e-23,4.0785093909917196e-22,1.265663487858438e-22,4.126359976153993e-24,0.0,0.0,0.06370477916406588,0.0,1.3955516071345886e-22,0.0,2.4286152537816077e-22,0.0,6.987119350725805e-22,0.0001796469485531618,0.0,0.0,0.04371568977528168,2.1445001254186926e-23,0.019068587971121233,0.07089072210713937,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,6.062952005381157e-24,7.422424323195875e-24,0.0,6.378050641745049e-24,0.0,0.0,0.0,0.0,7.494247469298285e-23,0.0,0.0,1.4917388425926224e-22,2.699173877155583e-22,7.934262201139765e-23,1.9757798539178564e-23,1.664789705064852e-22,0.0,0.0,2.4196522834379865e-22,0.0,1.7276489331180704e-22,0.0,0.0,7.684559202429581e-23,0.0,0.0,4.1373307456888954e-22,2.264503827241661e-22,0.0,1.5459907608069725e-22,2.1089620988075928e-22,6.421969584609891e-23,0.06486322285960563,0.007078179553972339,0.0,0.0,0.09949410372278955,0.0,0.0,0.10000000000000002,9.370546821646674e-23,5.056419518058224e-23
2018-04-02,0.0,0.0,0.0,0.0,0.04122811002800258,4.43335712251546e-24,0.0,0.0,5.21870224114717e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08758081459943097,0.0,0.0,0.0,0.0,0.0,0.0,0.0016607490830097306,0.0,0.0,7.350596268679364e-22,4.990419940841337e-22,0.0,0.0,0.0,7.614905855797814e-22,0.0,4.162079507452929e-22,0.0,3.063644943754003e-22,0.0,0.10000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000006,0.0,0.04246461396720043,0.0,0.0,0.06471732767995324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8759332027355915e-22,0.0,0.0,0.0,8.585350201684298e-22,2.1265286793166415e-23,0.0,0.10000000000000006,4.64305706080689e-22,0.0,0.0,0.0,0.0,0.10000000000000006,0.038608300739703935,0.023740083902698772,3.618419354524662e-22,3.972019946991635e-22,0.0,0.0,0.0,3.672115524431769e-23,0.0,0.10000000000000006,0.10000000000000006,0.0,0.0,3.521268968531065e-22,5.15268016077968e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9350313747156066e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.0,0.0,0.0,0.0,0.012100009657034285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8492936507822715e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2866217726774326e-23,0.0,0.03535795595678352,0.0,0.040668331636466895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3447350095654487e-22,4.210638341764716e-23,3.656302357305047e-22,0.0,0.055181065370949786,0.028116257494699273,0.10000000000000005,0.0,0.0,0.0,0.0,8.176630602738732e-24,0.0,0.0,0.012115807132061507,0.0,0.059172830641332205,0.0,0.0,0.0,0.0,0.0,1.8402341656213035e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000005,0.0,0.0,0.07363284172678829,0.0,0.0,0.10000000000000005,0.0,0.10000000000000005,2.378316122845029e-22,1.723540924032594e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.04420145793091162,0.0,0.0,4.933745775088218e-23,3.0644107861104894e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04543662441699943,0.0,0.09401681803597293,0.0,0.0,0.0,3.2853813742905706e-24,2.1162908343516125e-23
2018-10-01,2.9680799681676805e-23,2.929940446204167e-22,5.280347539354032e-22,3.5360899838960697e-22,0.0725139093086702,3.1425873104729337e-22,0.0,2.399282536339125e-22,0.0,2.0187924571426163e-23,0.10000000000000007,0.10000000000000007,6.285228582831403e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.910372075574004e-22,0.0,0.0,2.4234446417131066e-27,0.0,1.613943256713884e-22,5.973580352667351e-22,0.0,4.597751656706419e-22,0.0,3.9349997276707113e-22,9.120724822452293e-23,1.0137791274396216e-22,0.0,0.0,0.03262400287796354,6.926137683082185e-22,0.0,8.174941283748987e-22,0.10000000000000007,0.0,0.0,0.0,1.286446690431269e-22,0.0,0.02988952002323313,0.023930721737265806,0.0,2.483997723874268e-22,5.789282225450377e-23,0.07650748670965991,3.231274212286546e-22,0.0,2.85798066786718e-22,0.0,0.015365796614533182,0.10000000000000007,0.0,0.030595154893534197,0.0,1.202499351115317e-22,0.0,5.432121394396021e-23,0.0,0.018753047232567283,0.0,1.133655836873191e-22,5.702831596781176e-22,0.0,4.1378859339684895e-22,2.1274267637057776e-22,0.0,3.0913890948926685e-22,0.0,0.08689315123227156,0.0,0.0,9.05373567134258e-23,3.9255428310559725e-22,0.0,3.7433661400563123e-22,0.0,2.5516649210189137e-22,3.564761013618744e-22,3.242769074907203e-22,0.0,0.0,0.0,2.178789164581056e-23,9.518421374870765e-23,3.2364966433953195e-22,4.424678802144405e-22,0.0,0.0,3.814250699107479e-22,3.0079786904552944e-22,0.10000000000000007,0.0,5.928258497881181e-23,0.0,7.9527112083281305e-22,1.4031936840768124e-23,0.03491126128016298,5.610509465809088e-22,2.0209972249680246e-22,0.0,4.056331713489753e-23,0.0,0.0,0.0,0.0,8.306255304576033e-22,0.0,0.0,2.304132410432151e-22,0.0,0.0,0.008276342949146507,1.6710988590065e-22,0.0670529506017635,3.2466957872490787e-22,3.265224574202074e-22,0.0,0.002686654539227976,0.0,0.0,2.578960015069549e-22
2019-01-02,5.227974923108903e-24,0.020267802534495904,4.983394827371549e-23,0.1,0.0,0.1,1.653359043073586e-22,5.810736840809659e-25,0.0,0.0,2.709406570057388e-23,1.605176957695189e-23,4.389424081421026e-23,1.8066484714997274e-24,0.033359787222462085,0.0,0.008083151215568607,0.0,1.8033274428323923e-23,0.0,0.0,0.0,0.0,0.04844297348229374,0.0,0.0,0.0,5.087267389808185e-24,1.859461775380265e-23,5.952593626916128e-24,0.0,2.702161442414583e-24,0.0,2.2318942570822528e-23,0.0,0.0,1.2785622454680308e-23,0.0,0.0,0.022257437762862865,0.0,0.0,3.431417490102102e-23,3.4440992496674345e-23,0.04009828138121789,1.0196255143797429e-23,0.0,0.0,0.0,2.3755871514306725e-23,0.1,0.0,0.0,3.712054915090488e-23,4.006086948786602e-24,1.1458464312970878e-23,0.0,1.4829652822148528e-23,0.0,6.355896307719928e-24,0.0,0.0,0.0,1.7651556553882197e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0007487976862763301,0.1,0.0,0.0,5.3453593604366666e-24,2.867900083548116e-23,0.005315388739501599,1.3772821817994723e-23,0.0,0.0,2.2096898535586673e-23,6.23103150294408e-23,0.0,2.285945703452795e-24,2.3599218416009154e-23,2.856151317189525e-23,4.026473204077904e-23,0.04128897854178188,9.959673421386545e-24,0.1,2.2337948763206683e-23,0.01828219304213255,0.1,2.8078715046087746e-23,0.0,0.0,3.2678884055293575e-24,2.9687114085217285e-25,0.0,9.424505893203727e-25,0.0,0.009043640244215995,0.0,0.0,0.006410130836976717,0.0,1.2604730887102218e-23,6.501985926333781e-24,0.0,0.0,2.754783253920354e-23,0.1,0.0,0.0,0.0024855658202278547,0.006638684103737857,1.642453943178318e-23,0.0,3.1246162554962396e-23,0.0,0.0,2.800666459847864e-23,8.697201653829933e-24,0.0,0.0,1.4045543187209322e-23,2.1429831216689657e-23,1.1285576794180659e-23,2.9638712901743414e-24,0.0,0.0,1.9492129760552067e-23,4.543057692589882e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.371896974436972e-23,0.02555358576551488,0.01172360162073312,7.03749810739918e-24,0.0,0.0,0.0
2019-04-01,0.0,8.523851307008859e-24,0.03208804590782409,0.10000000000000007,0.05064491859407607,2.3173188425507885e-22,0.0,1.6840069415820805e-23,0.0,0.0,0.0,0.051367571437102605,2.823075049272504e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014868502599445735,0.0,0.0,0.0,6.319234755846018e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775693979459198e-23,0.0,1.809686085055215e-23,0.0,0.0,0.0,0.10000000000000007,0.10000000000000007,0.0,4.575317869817188e-23,0.0,2.2391333373276692e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6467714001769343e-23,0.0,0.0,2.257097010594856e-22,0.0,0.0,2.2161537712940144e-22,0.0,0.09017645205059611,0.0,0.0,0.0,0.10000000000000007,0.0,4.1464674974064045e-23,0.0,0.0,0.0,0.02831340317733866,0.0,0.0,0.039998268067704484,2.3036546164467478e-23,0.0,0.06280808574421971,0.10000000000000007,0.0,0.0,0.0,0.04311640476119325,4.2865051614018404e-23,0.0,5.643167530752367e-23,0.0,0.0,0.0,3.341292805304185e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.929823330030621e-24,0.0,0.0,0.0,8.214430183580113e-23,0.0,2.358076958793503e-22,0.0,1.3259518970907314e-23,0.0,0.0,0.0,4.853282955539727e-23
2019-07-01,4.0723637294033925e-22,0.0,0.0,0.10000000000000003,0.030718230087859535,0.10000000000000003,6.571819227119627e-23,5.730597731841691e-22,0.0,1.0589775420077435e-24,0.0,0.00035129636548630156,1.1825311980829514e-22,6.007514293535843e-23,7.796613215999489e-23,2.3547969561823807e-22,3.6210771513430793e-22,4.634153207141127e-22,0.0,1.24420860337296e-22,2.5720399369003655e-22,1.0651928699462957e-22,1.698056204943223e-22,6.048113696288795e-23,8.994715172913836e-23,1.831829962324178e-22,3.0300969304877256e-23,3.8230614646174237e-22,2.0593378200265974e-22,7.590320524833624e-23,0.0,1.2439770472966932e-22,2.8999051810924977e-23,2.64469791850102e-23,1.7339468759602774e-22,0.0,0.013812220471471244,0.0,1.3514441994326123e-23,0.0,0.08112503520893868,0.0,1.1813965182419519e-22,5.523518446442013e-22,9.015556780529804e-24,4.060279254012073e-23,7.795706917963488e-23,1.4651178512039298e-22,5.456814204897986e-23,5.0888243720614523e-23,0.10000000000000003,1.624637728674377e-22,7.054286339293645e-23,2.630665030979436e-23,5.371188735488975e-22,0.0,3.3710613976928835e-22,0.0,2.7540974771915752e-22,0.0,1.548678435442663e-22,9.00408632173892e-23,1.2444858378537782e-22,3.714716668813897e-23,2.7850373588386425e-22,0.0,0.0,3.2892801962484e-23,0.0,1.5869184030588153e-22,0.05351311487490145,0.10000000000000003,1.1584235669503362e-24,1.8770929903784962e-22,0.0,8.32228002235705e-23,0.0,0.0,1.1062124245895322e-22,3.109166462689215e-22,1.8842714881157597e-22,0.0,1.802968322073765e-22,3.996975570156778e-23,0.0,4.8339905090695955e-23,2.4059781878575434e-22,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,2.390881291446028e-22,0.0,0.0,9.669146670513758e-23,1.2894957883777356e-22,0.0,0.0,0.0,0.005237161438904072,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,5.017358866890189e-24,2.179563182777856e-22,0.0,0.10000000000000003,1.507066026492604e-22,2.0308049785667222e-22,5.748573574628529e-23,0.01516924607549197,0.0,6.893529990371407e-23,1.6969032896630122e-22,2.3150981903913e-22,3.108003969502354e-22,0.0,0.0,2.4773698809166744e-22,4.387457950548117e-22,4.767498818465982e-22,1.8055858871986915e-22,0.0,3.489975191077741e-23,6.351176357892273e-23,2.506852763664973e-22,2.385665265074995e-22,7.034008397878228e-23,6.9736557039077e-23,1.9042538051817161e-22,1.0752951439236185e-22,0.0,8.653925203785103e-23,2.4307353093639006e-22,0.004465397927075572,2.638199788898778e-22,0.012518038897625858,3.147795839409235e-22,0.0830902586522449,7.781541894120092e-23,1.565106973325858e-23,1.4296010294151139e-22
