strategy,metric,estimate,ci_lower,ci_upper,confidence_level,method
etf_equal_weight,annualized_zero_rf_mean,0.09801009984047346,-0.008864101277664288,0.19276724267781875,0.95,joint_stationary_bootstrap_percentile
asset_class_equal_weight,annualized_zero_rf_mean,0.09351717531680787,-0.010983954432429558,0.1861477640561338,0.95,joint_stationary_bootstrap_percentile
inverse_volatility_iewma,annualized_zero_rf_mean,0.060509415214426356,-0.013497967195550997,0.12410116371976004,0.95,joint_stationary_bootstrap_percentile
gmv_iewma,annualized_zero_rf_mean,0.019156591404642244,-0.008265039808246045,0.04379776494387118,0.95,joint_stationary_bootstrap_percentile
nominal_risk_10pct,annualized_zero_rf_mean,0.026221576313037318,-0.07454635304406843,0.11978323123916804,0.95,joint_stationary_bootstrap_percentile
box_risk_10pct,annualized_zero_rf_mean,0.005487268351795175,-0.04516576830967265,0.050452914424067054,0.95,joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,annualized_zero_rf_mean,0.011829078815718918,-0.030042780544199284,0.050367278472553026,0.95,joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,annualized_zero_rf_mean,0.028571292243609464,0.0021766428013392635,0.05240988381154072,0.95,joint_stationary_bootstrap_percentile
etf_equal_weight,annualized_volatility,0.14319320422790516,0.11714636783269092,0.17550054033431417,0.95,joint_stationary_bootstrap_percentile
asset_class_equal_weight,annualized_volatility,0.14004744960528584,0.1139614403977418,0.17251783673007076,0.95,joint_stationary_bootstrap_percentile
inverse_volatility_iewma,annualized_volatility,0.0937305880653792,0.0743541800403351,0.11763908667816574,0.95,joint_stationary_bootstrap_percentile
gmv_iewma,annualized_volatility,0.0339513754499636,0.02606098203673254,0.0434943525363681,0.95,joint_stationary_bootstrap_percentile
nominal_risk_10pct,annualized_volatility,0.15996338863141288,0.11791712893191858,0.21381946807257865,0.95,joint_stationary_bootstrap_percentile
box_risk_10pct,annualized_volatility,0.07608386801471322,0.059599164471578925,0.09332527269758517,0.95,joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,annualized_volatility,0.06209555304051853,0.049623117561107946,0.07520300510316072,0.95,joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,annualized_volatility,0.03579497193360266,0.030580363099077842,0.04146990832621832,0.95,joint_stationary_bootstrap_percentile
etf_equal_weight,provisional_zero_rf_sharpe,0.684460553620138,-0.05917878890397025,1.489502000508332,0.95,joint_stationary_bootstrap_percentile
asset_class_equal_weight,provisional_zero_rf_sharpe,0.6677535048326808,-0.08103796438181428,1.480421884691367,0.95,joint_stationary_bootstrap_percentile
inverse_volatility_iewma,provisional_zero_rf_sharpe,0.6455674338906278,-0.12920132301408804,1.5068680720160366,0.95,joint_stationary_bootstrap_percentile
gmv_iewma,provisional_zero_rf_sharpe,0.5642360920804104,-0.22102141591960026,1.496752044434646,0.95,joint_stationary_bootstrap_percentile
nominal_risk_10pct,provisional_zero_rf_sharpe,0.1639223608438115,-0.3971072177581649,0.8726522000461631,0.95,joint_stationary_bootstrap_percentile
box_risk_10pct,provisional_zero_rf_sharpe,0.0721213115864987,-0.535574036791454,0.7554959755575675,0.95,joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,provisional_zero_rf_sharpe,0.190498002457603,-0.44314757271130645,0.9138168724395909,0.95,joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,provisional_zero_rf_sharpe,0.7981928941474614,0.05781085084432463,1.5754580641311822,0.95,joint_stationary_bootstrap_percentile
etf_equal_weight,zero_rf_certainty_equivalent,0.06725365923489163,-0.04684063877964738,0.1657565968912258,0.95,joint_stationary_bootstrap_percentile
asset_class_equal_weight,zero_rf_certainty_equivalent,0.06409724310539025,-0.04953424494325578,0.16038019658533406,0.95,joint_stationary_bootstrap_percentile
inverse_volatility_iewma,zero_rf_certainty_equivalent,0.047331280505803645,-0.02998733610804728,0.11325735193884387,0.95,joint_stationary_bootstrap_percentile
gmv_iewma,zero_rf_certainty_equivalent,0.017427547562225656,-0.010937095454468963,0.04216766568677456,0.95,joint_stationary_bootstrap_percentile
nominal_risk_10pct,zero_rf_certainty_equivalent,-0.012160852240629332,-0.13366623803280112,0.09114419081842066,0.95,joint_stationary_bootstrap_percentile
box_risk_10pct,zero_rf_certainty_equivalent,-0.0031958641063252764,-0.05641802929597605,0.04268457435423495,0.95,joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,zero_rf_certainty_equivalent,0.0060452922546071425,-0.0369536741565463,0.04585449916390813,0.95,joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,zero_rf_certainty_equivalent,0.026649372220018362,0.0001978548664403248,0.05070663829921415,0.95,joint_stationary_bootstrap_percentile
