strategy,comparator,metric,estimate,ci_lower,ci_upper,confidence_level,method
etf_equal_weight,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.5205381927763265,0.09115960146061808,0.9548700867912157,0.95,paired_joint_stationary_bootstrap_percentile
etf_equal_weight,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.07941451147552096,0.018600365702607483,0.14409298940582377,0.95,paired_joint_stationary_bootstrap_percentile
asset_class_equal_weight,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.5038311439888693,0.07517458710084607,0.9475807221022028,0.95,paired_joint_stationary_bootstrap_percentile
asset_class_equal_weight,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.07625809534601959,0.01383846467442274,0.13963458321790706,0.95,paired_joint_stationary_bootstrap_percentile
inverse_volatility_iewma,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.48164507304681625,0.016886476151053296,0.9687189374278493,0.95,paired_joint_stationary_bootstrap_percentile
inverse_volatility_iewma,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.059492132746432974,-0.005535900059425683,0.13003596353458002,0.95,paired_joint_stationary_bootstrap_percentile
gmv_iewma,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.40031373123659886,-0.21608355333729992,1.1137722013213356,0.95,paired_joint_stationary_bootstrap_percentile
gmv_iewma,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.02958839980285499,-0.060860240879898456,0.13145400083964032,0.95,paired_joint_stationary_bootstrap_percentile
box_risk_10pct,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,-0.0918010492573128,-0.6675361973011903,0.45122367789391754,0.95,paired_joint_stationary_bootstrap_percentile
box_risk_10pct,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.008964988134304056,-0.07355066103038073,0.11238542841795134,0.95,paired_joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.0265756416137915,-0.5520053305836172,0.574538594342898,0.95,paired_joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.018206144495236474,-0.06648696779764178,0.12121705896732775,0.95,paired_joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,nominal_risk_10pct,delta_provisional_zero_rf_sharpe,0.6342705333036499,0.0340253394568915,1.2041602346959113,0.95,paired_joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,nominal_risk_10pct,delta_zero_rf_certainty_equivalent,0.03881022446064769,-0.05214469532318063,0.1425734691722162,0.95,paired_joint_stationary_bootstrap_percentile
asset_class_equal_weight,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.016707048787457213,-0.04700309414283874,0.019959742390430402,0.95,paired_joint_stationary_bootstrap_percentile
asset_class_equal_weight,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.003156416129501377,-0.008170071499230443,0.0017369746520690616,0.95,paired_joint_stationary_bootstrap_percentile
inverse_volatility_iewma,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.03889311972951026,-0.18465780881980956,0.12100740915165083,0.95,paired_joint_stationary_bootstrap_percentile
inverse_volatility_iewma,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.019922378729087982,-0.0564833420507989,0.019614818117890963,0.95,paired_joint_stationary_bootstrap_percentile
gmv_iewma,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.12022446153972766,-0.6520813717568015,0.48037141757751833,0.95,paired_joint_stationary_bootstrap_percentile
gmv_iewma,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.04982611167266597,-0.1314659334046322,0.04222002399272471,0.95,paired_joint_stationary_bootstrap_percentile
nominal_risk_10pct,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.5205381927763265,-0.9548700867912157,-0.0911596014606181,0.95,paired_joint_stationary_bootstrap_percentile
nominal_risk_10pct,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.07941451147552096,-0.1440929894058238,-0.018600365702607657,0.95,paired_joint_stationary_bootstrap_percentile
box_risk_10pct,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.6123392420336393,-1.3406619571675005,0.09388820842086604,0.95,paired_joint_stationary_bootstrap_percentile
box_risk_10pct,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.0704495233412169,-0.154115392099692,0.028695567872276607,0.95,paired_joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,etf_equal_weight,delta_provisional_zero_rf_sharpe,-0.493962551162535,-1.2069669739235531,0.20009322118860767,0.95,paired_joint_stationary_bootstrap_percentile
box_diagonal_risk_10pct,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.061208366980284486,-0.14406249755434708,0.03995917179119176,0.95,paired_joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,etf_equal_weight,delta_provisional_zero_rf_sharpe,0.1137323405273234,-0.5003464237080414,0.7039503294025403,0.95,paired_joint_stationary_bootstrap_percentile
ellipsoid_risk_10pct,etf_equal_weight,delta_zero_rf_certainty_equivalent,-0.040604287014873265,-0.12532765760422904,0.05572133748618558,0.95,paired_joint_stationary_bootstrap_percentile
